"
Street Name",Str Type,Region,Str Dir,Post Dir,Address Low Number,Address High Number,Odd Even,"
Zip","
Precinct","Town 
Precinct","
Cong","
Sen","
Hse"
ALGRETUS,DR,A,,,14603,14725,B,20120,903,,10,34,67
BARRYMORE,RD,A,,,5620,5809,B,20120,921,,10,34,40
BATAVIA,DR,A,,,14605,14713,B,20120,903,,10,34,67
BATTERY RIDGE,CT,A,,,14501,14535,B,20120,910,,11,37,37
BATTERY RIDGE,LN,A,,,14500,14647,B,20120,910,,11,37,37
BAUGHER,DR,A,,,14600,14704,B,20120,903,,10,34,67
HATFIELD,SQ,D,,,14800,14828,B,20120,910,,11,37,37
HAYMARKET,LN,D,,,14801,14858,B,20120,910,,11,37,37
HOXTON,SQ,D,,,14820,14839,B,20120,910,,11,37,37
JENN,CT,D,,,14600,14608,B,20120,917,,10,34,67
LADY MADONNA,CT,D,,,14900,14976,B,20120,910,,11,37,37
LAMBETH,SQ,D,,,14861,14898,B,20120,910,,11,37,37
LEICESTER,CT,D,,,14829,14867,B,20120,910,,11,37,37
LINDEN CREEK,CT,D,,,5850,5889,B,20120,921,,10,34,40
LONDON TOWNE,SQ,D,,,14800,14818,B,20120,910,,11,37,37
LYNHODGE,CT,D,,,14800,14873,B,20120,910,,11,37,37
MAIDSTONE,CT,D,,,14801,14850,B,20120,910,,11,37,37
MILLICENT,CT,D,,,14800,14838,B,20120,910,,11,37,37
MUDDY CREEK,CT,D,,,14700,14715,B,20120,921,,10,34,40
PADDINGTON,LN,D,,,6200,6339,B,20120,910,,11,37,37
PALMERSTON,SQ,D,,,14800,14841,B,20120,910,,11,37,37
POND FIELD,DR,D,,,14601,14605,B,20120,910,,11,37,37
PRINCE,WAY,D,,,6200,6335,B,20120,910,,11,37,37
REGENTS PARK,RD,D,,,6010,6036,B,20120,910,,11,37,37
SHETLER,WAY,D,,,5600,5608,B,20120,921,,10,34,40
SMETHWICK,PL,D,,,14800,14832,B,20120,910,,11,37,37
SOUTHWARKE,PL,D,,,14700,14735,B,20120,910,,11,37,37
STONE CREEK,CT,D,,,14700,14708,B,20120,921,,10,34,40
STONE CREEK,DR,D,,,5800,5835,B,20120,921,,10,34,40
STONE CROSSING,CT,D,,,14600,14682,B,20120,917,,10,34,67
STONE RANGE,DR,D,,,14600,14650,B,20120,917,,10,34,67
STREAM POND,CT,D,,,5800,5835,B,20120,910,,11,37,37
STREAM POND,DR,D,,,14600,14643,B,20120,910,,11,37,37
STREAM POND,DR,D,,,14700,14724,B,20120,921,,10,34,40
SULLY LAKE,CT,D,,,14501,14525,B,20120,917,,10,34,67
TRUITT FARM,CT,D,,,5600,5616,B,20120,921,,10,34,40
TRUITT FARM,DR,D,,,14700,14798,B,20120,921,,10,34,40
WATERMARK,CIR,D,,,5800,5858,B,20120,921,,10,34,40
WEALDSTONE,CT,D,,,6001,6033,B,20120,910,,11,37,37
WESTBOURNE,PL,D,,,6000,6038,B,20120,910,,11,37,37
WILLOW CREEK,DR,D,,,14600,14717,B,20120,910,,11,37,37
WINTERFIELD,CT,D,,,14701,14748,B,20120,917,,10,34,67
WINTERFIELD,DR,D,,,14600,14621,B,20120,921,,10,34,40
WINTERFIELD,DR,D,,,14651,14665,B,20120,917,,10,34,67
WOOD CREEK,LN,D,,,5701,5742,B,20120,917,,10,34,67
WOODSPRING,CT,D,,,14600,14632,B,20120,917,,10,34,67
WYCOFF,SQ,D,,,6050,6079,B,20120,910,,11,37,37
BOLTON,RD,D,,,14800,14865,B,20121,924,,11,37,40
EDMAN,CIR,D,,,14800,14854,B,20121,924,,11,37,40
EDMAN,RD,D,,,14800,14824,B,20121,924,,11,37,40
MCCOY,RD,D,,,6401,6491,B,20121,924,,11,37,40
PADDINGTON,CT,D,,,6400,6427,B,20121,924,,11,37,40
RYDELL,RD,D,,,14800,14921,B,20121,924,,11,37,40
CREEK VALLEY,CT,D,,,14600,14618,B,20120,917,,10,34,67
LEE,HWY,D,,,15000,15014,E,20120,915,,10,37,40
SULLY LAKE,DR,D,,,5501,5564,B,20120,917,,10,34,67
SUMMERLAKE,WAY,D,,,5801,5821,B,20120,921,,10,34,40
BONNET,TER,D,,,14700,14713,B,20121,924,,11,37,40
JAMES HARRIS,WAY,D,,,6310,6388,E,20121,924,,11,37,40
PENDLETON,PL,D,,,6342,6354,B,20121,924,,11,37,40
SHIREY,LN,D,,,6300,6341,B,20121,924,,11,37,40
Spence,Pl,D,,,6300,6312,B,20121,924,,11,37,40
LEE,HWY,D,,,11329,11353,O,20121,918,,11,37,40
ASHMERE,LN,E,,,6600,6613,B,20120,923,,10,37,40
BARNESDALE,PATH,E,,,6300,6534,B,20120,923,,10,37,40
BECKFORD,WAY,E,,,15500,15507,B,20120,923,,10,37,40
BLUERIDGE VIEW,DR,E,,,15301,15333,B,20120,915,,10,37,40
CEDARHURST,CT,E,,,15408,15425,B,20120,915,,10,37,40
EAGLE TAVERN,LN,E,,,15400,15567,B,20120,923,,10,37,40
EAGLE TAVERN,WAY,E,,,15250,15269,B,20120,923,,10,37,40
FLOWERDEW HUNDRED,CT,E,,,6500,6512,B,20120,923,,10,37,40
GRISTMILL SQUARE,LN,E,,,6450,6492,B,20120,923,,10,37,40
GRISTMILL SQUARE,TRCE,E,,,6400,6419,B,20120,923,,10,37,40
HARMONY HILL,CT,E,,,15300,15312,B,20120,915,,10,37,40
HIDDEN CANYON,RD,E,,,6161,6342,B,20120,915,,10,37,40
HUNT CHASE,CT,E,,,6296,6316,B,20120,915,,10,37,40
IRON STONE,CT,E,,,5870,5886,B,20120,915,,10,37,40
JORDANS JOURNEY,DR,E,,,15300,15344,B,20120,915,,10,37,40
KENTWELL,CIR,E,,,15400,15436,B,20120,915,,10,37,40
KNOLL VIEW,PL,E,,,6200,6219,B,20120,915,,10,37,40
LAWNES CREEK,CT,E,,,15600,15604,B,20120,923,,10,37,40
LEE FOREST,PATH,E,,,6300,6366,B,20120,915,,10,37,40
MARSTON,CL,E,,,6500,6508,B,20120,923,,10,37,40
MARTINS BRANDON,WAY,E,,,6220,6238,B,20120,915,,10,37,40
MARTINS HUNDRED,DR,E,,,15389,15455,B,20120,915,,10,37,40
MCCAMBELL,CL,E,,,6600,6627,B,20120,923,,10,37,40
